,VSTOXX_ret,VIX_ret,RealizedVol_10d_ret,CAC40_ret,DAX_ret,STOXX600_ret,EUROSTOXX_Banks_ret,EUROPE_Financials_ret,Ukraine_z,guerre Russie_z,invasion Ukraine_z,OTAN_z,sanctions économiques_z,Israël_z,Palestine_z,Hamas_z,guerre Gaza_z,guerre mondiale_z,Chine Taïwan_z,conflit Chine USA_z,mer de Chine_z,Iran nucléaire_z,Iran Israël_z,attaques pétroliers_z,Corée du Nord_z,missile nucléaire_z,Kim Jong Un_z,tensions géopolitiques_z,GPR_Global_z,EPU_z,OAT_10Y_z,Bund_10Y_z,Infl_Exp_10Y_US_z,Spread_OAT_Bund_z,Technology,Health Care,Oil & Gas,Financials,Banks,Insurance,Consumer Discretionary,Consumer Staples,Industrials,Telecommunications,Utilities,Real Estate,Sentiment_Composite,VIX,RealizedVol_10d,VSTOXX,Delta_GPR_x,CAC40,DAX,STOXX600,EUROSTOXX_Banks,EUROPE_Financials,GPR_Global,Z_GPR,Delta_GPR_y,EPU,Bund_10Y,OAT_10Y,Delta_GPR,Infl_Exp_10Y_US
2010-01-01,,,,,,,,,-0.2522819671355051,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.22717906020313,-0.0963685522593154,,-0.1388471984654808,-0.2690698449057268,-0.1036966681638957,-1.1712837672808911,0.1528463922447998,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,1.5130328602530132,-0.1662436140320738,1.5212203409361893,1.892651671156223,,-1.150372094310946,,,,,,,,,,,,,0.174335182383886,,,,118.92,,,,,,200.21,3.049928272238928,118.92,142.00355,3.2575,3.52,,
2010-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0460934994283917,-0.1542596414207623,,,1.0301944450855745,,,,,,,,,,,,,,-0.1977636258663054,18.1299991607666,,,-89.91000000000001,4045.139892578125,6037.60986328125,259.1499938964844,,,110.3,0.4571185959551355,-89.91000000000001,143.13528256410257,,,-89.91000000000001,2.42
2010-01-15,,-0.012208770924079,,-0.0226923382804749,-0.0271370262821459,-0.0105122924442211,,,,,,,,,,,,,,,,,,,,,,,-0.4381547513699036,-0.1422756688094512,,,0.8560951930665338,,-0.0086651079203502,-0.0020841134402792,-0.01307562938613,-0.038425039508046,-0.0288230033896962,-0.0208580377730106,-0.0290424366249213,0.0192385638119686,-0.0256222615743936,-0.0108181906498416,0.0086141558396913,0.0068043861486479,-0.1977636258663054,17.90999984741211,,,-29.68,3954.3798828125,5875.97021484375,256.44000244140625,,,80.62,-0.3536278682300198,-29.68,144.26701512820512,,,-29.679999999999996,2.36
2010-01-22,,0.4218937083773095,,-0.0343691977813662,-0.0312264352513107,-0.025793860939034,,,,,,,,,,,,,,,,,,,,,,,-0.9313766051984912,-0.1302916961981398,,,0.7110124830506672,,-0.0584513615412519,-0.0110154139968192,-0.0314943114957024,-0.0645383845800292,-0.0324206411062821,-0.0097078134161792,-0.0542171002669531,0.0082858892445584,-0.0039407115979733,-0.0433837397113089,-0.0092111927648382,-0.0186686541689599,-0.1977636258663054,27.309999465942383,0.1469172968012712,,-30.230000000000004,3820.780029296875,5695.31982421875,249.91000366210932,,,50.39,-1.0829860374397386,-30.230000000000004,145.3987476923077,,,-30.230000000000004,2.31
2010-01-29,,-0.1036937610864541,0.0610774493088861,-0.021513392395148,-0.015309737135464,-0.0118744603204481,,,,,,,,,,,,,,,,,,,,,,,-0.7171522274026144,-0.1183077235868286,,,0.7690455670570141,,-0.0294269777392636,0.0234570305196706,-0.0213552011234768,-0.0208737168327733,-0.0055075441738851,-0.0236288634072089,-0.046191395879782,-0.010434885998174,-0.0135132567239072,-0.0233557600301814,0.0189242713431413,-0.0037758219461857,-0.1977636258663054,24.6200008392334,0.1561703300611472,,13.130000000000004,3739.4599609375,5608.7900390625,246.9600067138672,,,63.52,-0.6743002644643211,13.130000000000004,146.53048025641024,,,13.130000000000004,2.33
2010-02-05,,0.0587592512434254,0.2581889850505721,-0.048125035515115,-0.0315969676565881,-0.0392271908686323,,,-0.2522819671355051,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.22717906020313,0.0314393858434646,,-0.1388471984654808,-0.2690698449057268,-0.1036966681638957,-1.1712837672808911,0.9467984852941768,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,-0.25068802624617,-0.1063237509755172,1.505244113081858,1.816210524408892,0.5949463150379734,-0.8541214602783254,-0.0458308873690142,-0.0166239620762106,-0.0412333270749341,-0.0633246619081266,-0.0282363743013121,-0.035112673759152,-0.0379774253540607,-0.0214766940097524,-0.0181715467741375,-0.0429189624227059,-0.0348716532106411,-0.046459926701706,0.174335182383886,26.11000061035156,0.2021755250571726,,28.59,3563.760009765625,5434.33984375,237.4600067138672,,,92.11,0.0739760700120681,28.59,147.66221282051282,3.17,3.5,28.59,2.27
2010-02-12,,-0.1386327883619311,-0.0116463512893605,0.0098593277345102,0.012080974367203,0.0148807188145054,,,,,,,,,,,,,,,,,,,,,,,-0.4929753080640503,-0.0943397783642061,,,0.4788801470252795,,-0.0312749460139852,-0.0238546098320932,0.0238145317580099,0.0096567710302118,0.0275461820798973,0.0155522057472644,0.0317833481551245,0.0260385544456983,0.0077128824015005,-0.0145931349202541,0.0339927039866151,0.0157277356526744,-0.1977636258663054,22.729999542236328,0.1998345760872516,,-14.849999999999994,3599.070068359375,5500.39013671875,241.0200042724609,,,77.26,-0.3090012833034641,-14.849999999999994,148.79394538461537,,,-14.849999999999994,2.23
2010-02-19,,-0.126953820972874,-1.0182991353711226,0.0462774907143739,0.0395080749882605,0.0377802753043008,,,,,,,,,,,,,,,,,,,,,,,0.2006026279681444,-0.0823558057528946,,,0.5659297730347993,,0.0308015639587517,0.039963088504703,0.0299822832802584,0.056062124318409,0.0323962024538306,0.0231860266812157,0.0566463691119113,0.0238103928194819,0.0136548320174355,0.0412511100879582,0.0271849242793533,0.02377212447815,-0.1977636258663054,20.020000457763672,0.0721820044769999,,42.50999999999999,3769.5400390625,5722.0498046875,250.3000030517578,,,119.77,0.6971320117636102,42.50999999999999,149.92567794871795,,,42.50999999999999,2.26
2010-02-26,,-0.0263173311826916,0.7451802118043183,-0.016244601134149,-0.0218355457155503,-0.0181420010825812,,,,,,,,,,,,,,,,,,,,,,,-0.4378284385324386,-0.0703718331415835,,,0.1887147269935449,,-0.0406251636905383,-0.0056859757549083,-0.0347002005065323,-0.0100938486509486,-0.0259696944341823,-0.0231860266812157,-0.0373356332788656,-0.0168730202028513,-0.0060011178356233,-0.0274411754033495,-0.0175571726378697,-0.0102107645056123,-0.1977636258663054,19.5,0.1520745682533919,,-39.13,3708.800048828125,5598.4599609375,245.8000030517578,,,80.64,-0.2883975211305937,-39.13,151.0574105128205,,,-39.13,2.13
2010-03-05,,-0.1127954897656686,0.0741423065384676,0.0529363778008438,0.0486161052909448,0.0449079943519361,,,-0.350158995878948,-0.1036966681638957,-0.0983221643910135,-0.130016759261789,,-0.2261210430566075,-0.22717906020313,-0.0963685522593154,,-0.1388471984654808,-0.2690698449057268,-0.1036966681638957,-1.1712837672808911,0.1528463922447998,-0.1398133604667485,,-0.2784192811970115,,-0.3104415009654712,,-0.3497239724168456,-0.0583878605302721,1.4573154295188648,1.756956765936428,0.4208470630189326,-0.8197735606803485,0.0855712160938704,0.0530021524551594,0.0450001731753527,0.0631787228372685,0.0545363584370799,0.01986321383129,0.1012538969556639,0.0246858391505983,0.0323754430476875,0.0652241096609564,0.0348111045077925,0.0445356938057448,-0.0117142217412097,17.420000076293945,0.1637782350935941,,5.400000000000006,3910.419921875,5877.35986328125,257.0899963378906,,,86.04,-0.1731470902394674,5.400000000000006,152.18914307692307,3.10217391304348,3.44,5.400000000000006,2.21
